iter	Passed	Remaining
618	3038	1870
619	3042	1865
620	3048	1860
621	3052	1855
622	3057	1850
623	3062	1845
624	3067	1840
625	3071	1835
626	3075	1829
627	3081	1825
628	3086	1820
629	3091	1815
630	3096	1810
631	3101	1805
632	3106	1800
633	3111	1796
634	3116	1791
635	3121	1786
636	3125	1781
637	3130	1776
638	3135	1771
639	3140	1766
640	3145	1761
641	3150	1756
642	3155	1752
643	3161	1747
644	3166	1742
645	3171	1737
646	3176	1733
647	3182	1728
648	3187	1723
649	3193	1719
650	3198	1714
651	3202	1709
652	3208	1704
653	3213	1700
654	3218	1695
655	3223	1690
656	3228	1685
657	3233	1680
658	3238	1675
659	3243	1671
660	3248	1666
661	3254	1661
662	3258	1656
663	3263	1651
664	3269	1646
665	3274	1642
666	3279	1637
667	3284	1632
668	3290	1627
669	3295	1622
670	3300	1618
671	3305	1613
672	3310	1608
673	3315	1603
674	3321	1599
675	3326	1594
676	3330	1589
677	3336	1584
678	3341	1579
679	3346	1574
680	3352	1570
681	3356	1565
682	3362	1560
683	3367	1555
684	3372	1551
685	3377	1546
686	3383	1541
687	3388	1536
688	3393	1531
689	3398	1526
690	3404	1522
691	3408	1517
692	3413	1512
693	3419	1507
694	3424	1502
695	3429	1497
696	3435	1493
697	3440	1488
698	3446	1483
699	3451	1479
700	3456	1474
701	3461	1469
702	3467	1464
703	3471	1459
704	3477	1454
705	3482	1450
706	3488	1445
707	3493	1440
708	3499	1436
709	3503	1431
710	3509	1426
711	3514	1421
712	3518	1416
713	3524	1411
714	3530	1407
715	3534	1402
716	3539	1397
717	3545	1392
718	3550	1387
719	3555	1382
720	3560	1377
721	3565	1372
722	3570	1368
723	3576	1363
724	3581	1358
725	3586	1353
726	3592	1348
727	3597	1344
728	3602	1339
729	3607	1334
730	3612	1329
731	3617	1324
732	3623	1319
733	3628	1314
734	3633	1310
735	3639	1305
736	3644	1300
737	3649	1295
738	3653	1290
739	3658	1285
740	3664	1280
741	3668	1275
742	3675	1271
743	3681	1266
744	3686	1261
745	3692	1257
746	3697	1252
747	3702	1247
748	3707	1242
749	3712	1237
750	3718	1232
751	3723	1227
752	3728	1222
753	3733	1217
754	3738	1213
755	3743	1208
756	3748	1203
757	3754	1198
758	3759	1193
759	3763	1188
760	3769	1183
761	3775	1179
762	3779	1174
763	3784	1169
764	3789	1164
765	3794	1159
766	3800	1154
767	3805	1149
768	3810	1144
769	3815	1139
770	3821	1134
771	3826	1129
772	3831	1125
773	3836	1120
774	3841	1115
775	3846	1110
776	3851	1105
777	3856	1100
778	3861	1095
779	3867	1090
780	3872	1085
781	3878	1081
782	3883	1076
783	3888	1071
784	3893	1066
785	3898	1061
786	3904	1056
787	3909	1051
788	3915	1047
789	3920	1042
790	3926	1037
791	3932	1032
792	3938	1027
793	3943	1023
794	3948	1018
795	3953	1013
796	3958	1008
797	3964	1003
798	3969	998
799	3974	993
800	3979	988
801	3984	983
802	3989	978
803	3996	974
804	4001	969
805	4006	964
806	4012	959
807	4017	954
808	4022	949
809	4027	944
810	4032	939
811	4038	934
812	4043	930
813	4048	925
814	4053	920
815	4059	915
816	4064	910
817	4069	905
818	4074	900
819	4079	895
820	4085	890
821	4090	885
822	4095	880
823	4100	875
824	4105	870
825	4110	865
826	4116	861
827	4121	856
828	4126	851
829	4131	846
830	4136	841
831	4142	836
832	4147	831
833	4152	826
834	4157	821
835	4162	816
836	4168	811
837	4173	806
838	4177	801
839	4182	796
840	4188	791
841	4193	786
842	4198	781
843	4204	777
844	4210	772
845	4215	767
846	4220	762
847	4225	757
848	4230	752
849	4236	747
850	4241	742
851	4246	737
852	4252	732
853	4257	727
854	4261	722
855	4267	717
856	4272	712
857	4277	707
858	4282	702
859	4287	697
860	4292	692
861	4297	688
862	4302	683
863	4307	678
864	4313	673
865	4318	668
866	4323	663
867	4328	658
868	4333	653
869	4338	648
870	4343	643
871	4348	638
872	4353	633
873	4358	628
874	4363	623
875	4368	618
876	4373	613
877	4379	608
878	4384	603
879	4389	598
880	4395	593
881	4400	588
882	4406	583
883	4412	578
884	4417	574
885	4422	569
886	4428	564
887	4433	559
888	4438	554
889	4443	549
890	4448	544
891	4453	539
892	4458	534
893	4464	529
894	4469	524
895	4474	519
896	4480	514
897	4485	509
898	4492	504
899	4496	499
900	4501	494
901	4507	489
902	4512	484
903	4517	479
904	4523	474
905	4528	469
906	4533	464
907	4538	459
908	4543	454
909	4548	449
910	4553	444
911	4558	439
912	4563	434
913	4568	429
914	4574	424
915	4579	419
916	4584	414
917	4589	409
918	4594	404
919	4599	399
920	4604	394
921	4609	389
922	4615	385
923	4621	380
924	4626	375
925	4632	370
926	4637	365
927	4643	360
928	4649	355
929	4654	350
930	4659	345
931	4664	340
932	4669	335
933	4674	330
934	4679	325
935	4684	320
936	4690	315
937	4694	310
938	4701	305
939	4705	300
940	4710	295
941	4716	290
942	4722	285
943	4726	280
944	4732	275
945	4737	270
946	4742	265
947	4748	260
948	4753	255
949	4758	250
950	4763	245
951	4768	240
952	4773	235
953	4779	230
954	4784	225
955	4789	220
956	4794	215
957	4800	210
958	4807	205
959	4813	200
960	4819	195
961	4826	190
962	4831	185
963	4838	180
964	4844	175
965	4849	170
966	4855	165
967	4862	160
968	4868	155
969	4874	150
970	4880	145
971	4886	140
972	4893	135
973	4898	130
974	4904	125
975	4910	120
976	4916	115
977	4921	110
978	4927	105
979	4933	100
980	4939	95
981	4944	90
982	4949	85
983	4955	80
984	4960	75
985	4966	70
986	4972	65
987	4976	60
988	4982	55
989	4988	50
990	4993	45
991	4998	40
992	5005	35
993	5010	30
994	5015	25
995	5021	20
996	5026	15
997	5031	10
998	5036	5
999	5041	0
